name,level,school,casting_time,range,components,material_components,duration,concentration,ritual,description,higher_levels,source
Searing Smite,1,Evocation,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a melee weapon attack during the spell's duration, your weapon flares with white-hot intensity, and the attack deals an extra 1d6 fire damage to the target and causes the target to ignite in flames.","When you cast this spell using a spell slot of 2nd level or higher, the initial extra damage dealt by the attack increases by 1d6 for each slot level above 1st.",OFFICIAL
Shield,1,Abjuration,1 reaction,Self,V S,,1 round,false,false,"An invisible barrier of magical force appears and protects you. Until the start of your next turn, you have a +5 bonus to AC, including against the triggering attack, and you take no damage from magic missile.",,OFFICIAL
Shield of Faith,1,Abjuration,1 bonus action,60 feet,V S M,a small parchment with a bit of holy text written on it,10 minutes,true,false,"A shimmering field appears and surrounds a creature of your choice within range, granting it a +2 bonus to AC for the duration.",,OFFICIAL
Silent Image,1,Illusion,1 action,60 feet,V S M,a bit of fleece,10 minutes,true,false,"You create the image of an object, a creature, or some other visible phenomenon that is no larger than a 15-foot cube. The image appears at a spot within range and lasts for the duration. The image is purely visual; it isn't accompanied by sound, smell, or other sensory effects.",,OFFICIAL
Sleep,1,Enchantment,1 action,90 feet,V S M,a pinch of fine sand rose petals or a cricket,1 minute,false,false,"This spell sends creatures into a magical slumber. Roll 5d8; the total is how many hit points of creatures this spell can affect. Creatures within 20 feet of a point you choose within range are affected in ascending order of their current hit points.","When you cast this spell using a spell slot of 2nd level or higher, roll an additional 2d8 for each slot level above 1st.",OFFICIAL
Snare,1,Abjuration,1 minute,Touch,S M,25 feet of rope consumed,8 hours,false,false,"As you cast this spell, you use the rope to create a circle with a 5-foot radius on the ground or the floor. When you finish casting, the rope disappears and the circle becomes a magic trap. The trap is nearly invisible, requiring a successful Intelligence (Investigation) check against your spell save DC to be discerned.",,OFFICIAL
Speak with Animals,1,Divination,1 action,Self,V S,,10 minutes,false,true,"You gain the ability to comprehend and verbally communicate with beasts for the duration. The knowledge and awareness of many beasts is limited by their intelligence, but at minimum, beasts can give you information about nearby locations and monsters, including whatever they can perceive or have perceived within the past day.",,OFFICIAL
Tasha's Hideous Laughter,1,Enchantment,1 action,30 feet,V S M,tiny tarts and a feather waved in the air,1 minute,true,false,"A creature of your choice that you can see within range perceives everything as hilariously funny and falls into fits of laughter if this spell affects it. The target must succeed on a Wisdom saving throw or fall prone, becoming incapacitated and unable to stand up for the duration.",,OFFICIAL
Tenser's Floating Disk,1,Conjuration,1 action,30 feet,V S M,a drop of mercury,1 hour,false,true,"This spell creates a circular, horizontal plane of force, 3 feet in diameter and 1 inch thick, that floats 3 feet above the ground in an unoccupied space of your choice that you can see within range. The disk remains for the duration, and can hold up to 500 pounds.",,OFFICIAL
Thunderous Smite,1,Evocation,1 bonus action,Self,V,,1 minute,true,false,"The first time you hit with a melee weapon attack during this spell's duration, your weapon rings with thunder that is audible within 300 feet of you, and the attack deals an extra 2d6 thunder damage to the target. Additionally, if the target is a creature, it must succeed on a Strength saving throw or be pushed 10 feet away from you and knocked prone.",,OFFICIAL
Thunderwave,1,Evocation,1 action,Self (15-foot cube),V S,,Instantaneous,false,false,"A wave of thunderous force sweeps out from you. Each creature in a 15-foot cube originating from you must make a Constitution saving throw. On a failed save, a creature takes 2d8 thunder damage and is pushed 10 feet away from you. On a successful save, the creature takes half as much damage and isn't pushed.","When you cast this spell using a spell slot of 2nd level or higher, the damage increases by 1d8 for each slot level above 1st.",OFFICIAL
Unseen Servant,1,Conjuration,1 action,60 feet,V S M,a piece of string and a bit of wood,1 hour,false,true,"This spell creates an invisible, mindless, shapeless, Medium force that performs simple tasks at your command until the spell ends. The servant springs into existence in an unoccupied space on the ground within range.",,OFFICIAL
Witch Bolt,1,Evocation,1 action,30 feet,V S M,a twig from a tree that has been struck by lightning,1 minute,true,false,"A beam of crackling, blue energy lances out toward a creature within range, forming a sustained arc of lightning between you and the target. Make a ranged spell attack against that creature. On a hit, the target takes 1d12 lightning damage, and on each of your turns for the duration, you can use your action to deal 1d12 lightning damage to the target automatically.","When you cast this spell using a spell slot of 2nd level or higher, the initial damage increases by 1d12 for each slot level above 1st.",OFFICIAL
Wrathful Smite,1,Evocation,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit with a melee weapon attack during this spell's duration, your attack deals an extra 1d6 psychic damage. Additionally, if the target is a creature, it must make a Wisdom saving throw or be frightened of you until the spell ends.",,OFFICIAL
Zephyr Strike,1,Transmutation,1 bonus action,Self,V,,1 minute,true,false,"You move like the wind. Until the spell ends, your movement doesn't provoke opportunity attacks. Once before the spell ends, you can give yourself advantage on one weapon attack roll on your turn. That attack deals an extra 1d8 force damage on a hit. Whether you hit or miss, your walking speed increases by 30 feet until the end of that turn.",,OFFICIAL
Aganazzar's Scorcher,2,Evocation,1 action,30 feet,V S M,a red dragon's scale,Instantaneous,false,false,"A line of roaring flame 30 feet long and 5 feet wide emanates from you in a direction you choose. Each creature in the line must make a Dexterity saving throw. A creature takes 3d8 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",OFFICIAL
Aid,2,Abjuration,1 action,30 feet,V S M,a tiny strip of white cloth,8 hours,false,false,"Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within range. Each target's hit point maximum and current hit points increase by 5 for the duration.","When you cast this spell using a spell slot of 3rd level or higher, a target's hit points increase by an additional 5 for each slot level above 2nd.",OFFICIAL
Alter Self,2,Transmutation,1 action,Self,V S,,1 hour,true,false,"You assume a different form. When you cast the spell, choose one of the following options: Aquatic Adaptation, Change Appearance, or Natural Weapons. You can change your choice as an action during the duration.",,OFFICIAL
Animal Messenger,2,Enchantment,1 action,30 feet,V S M,a morsel of food,24 hours,false,true,"By means of this spell, you use an animal to deliver a message. Choose a Tiny beast you can see within range, such as a squirrel, a blue jay, or a bat. You specify a location and a recipient who matches a general description.","If you cast this spell using a spell slot of 3rd level or higher, the duration of the spell increases by 48 hours for each slot level above 2nd.",OFFICIAL
Arcane Lock,2,Abjuration,1 action,Touch,V S M,gold dust worth at least 25 gp consumed,Until dispelled,false,false,"You touch a closed door, window, gate, chest, or other entryway, and it becomes locked for the duration. You and the creatures you designate when you cast this spell can open the object normally.",,OFFICIAL
Augury,2,Divination,1 minute,Self,V S M,specially marked sticks bones or similar tokens worth at least 25 gp,Instantaneous,false,true,"By casting gem-inlaid sticks, rolling dragon bones, laying out ornate cards, or employing some other divining tool, you receive an omen from an otherworldly entity about the results of a specific course of action that you plan to take within the next 30 minutes.",,OFFICIAL
Barkskin,2,Transmutation,1 action,Touch,V S M,a handful of oak bark,1 hour,true,false,"You touch a willing creature. Until the spell ends, the target's skin has a rough, bark-like appearance, and the target's AC can't be less than 16, regardless of what kind of armor it is wearing.",,OFFICIAL
Beast Sense,2,Divination,1 action,Touch,S,,1 hour,true,true,"You touch a willing beast. For the duration of the spell, you can use your action to see through the beast's eyes and hear what it hears, and continue to do so until you use your action to return to your normal senses.",,OFFICIAL
Blindness/Deafness,2,Necromancy,1 action,30 feet,V,,1 minute,false,false,"You can blind or deafen a foe. Choose one creature that you can see within range to make a Constitution saving throw. If it fails, the target is either blinded or deafened (your choice) for the duration.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",OFFICIAL
Blur,2,Illusion,1 action,Self,V,,1 minute,true,false,"Your body becomes blurred, shifting and wavering to all who can see you. For the duration, any creature has disadvantage on attack rolls against you. An attacker is immune to this effect if it doesn't rely on sight or can see through illusions.",,OFFICIAL
Branding Smite,2,Evocation,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a weapon attack before this spell ends, the weapon gleams with astral radiance as you strike. The attack deals an extra 2d6 radiant damage to the target, which becomes visible if it's invisible, and the target sheds dim light in a 5-foot radius.","When you cast this spell using a spell slot of 3rd level or higher, the extra damage increases by 1d6 for each slot level above 2nd.",OFFICIAL
Calm Emotions,2,Enchantment,1 action,60 feet,V S,,1 minute,true,false,"You attempt to suppress strong emotions in a group of people. Each humanoid in a 20-foot-radius sphere centered on a point you choose within range must make a Charisma saving throw; a creature can choose to fail this saving throw if it wishes.",,OFFICIAL
Cloud of Daggers,2,Conjuration,1 action,60 feet,V S M,a sliver of glass,1 minute,true,false,"You fill the air with spinning daggers in a cube 5 feet on each side, centered on a point you choose within range. A creature takes 4d4 slashing damage when it enters the spell's area for the first time on a turn or starts its turn there.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 2d4 for each slot level above 2nd.",OFFICIAL
Continual Flame,2,Evocation,1 action,Touch,V S M,ruby dust worth 50 gp consumed,Until dispelled,false,false,"A flame, equivalent in brightness to a torch, springs forth from an object that you touch. The effect looks like a regular flame, but it creates no heat and doesn't use oxygen. A continual flame can be covered or hidden but not smothered or quenched.",,OFFICIAL
Cordon of Arrows,2,Transmutation,1 action,5 feet,V S M,four or more arrows or bolts,8 hours,false,false,"You plant four pieces of nonmagical ammunition in the ground within range and lay magic upon them to protect an area. Until the spell ends, whenever a creature other than you comes within 30 feet of the ammunition for the first time on a turn or ends its turn there, one piece of ammunition flies up to strike it.",,OFFICIAL
Crown of Madness,2,Enchantment,1 action,120 feet,V S,,1 minute,true,false,"One humanoid of your choice that you can see within range must succeed on a Wisdom saving throw or become charmed by you for the duration. While the target is charmed in this way, a twisted crown of jagged iron appears on its head, and a madness glows in its eyes.",,OFFICIAL
Darkness,2,Evocation,1 action,60 feet,V M,bat fur and a drop of pitch or piece of coal,10 minutes,true,false,"Magical darkness spreads from a point you choose within range to fill a 15-foot-radius sphere for the duration. The darkness spreads around corners. A creature with darkvision can't see through this darkness, and nonmagical light can't illuminate it.",,OFFICIAL
Darkvision,2,Transmutation,1 action,Touch,V S M,either a pinch of dried carrot or an agate,8 hours,false,false,"You touch a willing creature to grant it the ability to see in the dark. For the duration, that creature has darkvision out to a range of 60 feet.",,OFFICIAL
Detect Thoughts,2,Divination,1 action,Self,V S M,a copper piece,1 minute,true,false,"For the duration, you can read the thoughts of certain creatures. When you cast the spell and as your action on each turn until the spell ends, you can focus your mind on any one creature that you can see within 30 feet of you.",,OFFICIAL
Dragon's Breath,2,Transmutation,1 bonus action,Touch,V S M,a hot pepper,1 minute,true,false,"You touch one willing creature and imbue it with the power to spew magical energy from its mouth, provided it has one. Choose acid, cold, fire, lightning, or poison. Until the spell ends, the creature can use an action to exhale energy of the chosen type in a 15-foot cone.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",OFFICIAL
Dust Devil,2,Conjuration,1 action,60 feet,V S M,a pinch of dust,1 minute,true,false,"Choose an unoccupied 5-foot cube of air that you can see within range. An elemental force that resembles a dust devil appears in the cube and lasts for the spell's duration. Any creature that ends its turn within 5 feet of the dust devil must make a Strength saving throw.",,OFFICIAL
Earthbind,2,Transmutation,1 action,300 feet,V,,1 minute,true,false,"Choose one creature you can see within range. Yellow strips of magical energy loop around the creature. The target must succeed on a Strength saving throw, or its flying speed (if any) is reduced to 0 feet for the spell's duration.",,OFFICIAL
Enhance Ability,2,Transmutation,1 action,Touch,V S M,fur or a feather from a beast,1 hour,true,false,"You touch a creature and bestow upon it a magical enhancement. Choose one of the following effects; the target gains that effect until the spell ends: Bear's Endurance, Bull's Strength, Cat's Grace, Eagle's Splendor, Fox's Cunning, or Owl's Wisdom.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",OFFICIAL
Enlarge/Reduce,2,Transmutation,1 action,30 feet,V S M,a pinch of powdered iron,1 minute,true,false,"You cause a creature or an object you can see within range to grow larger or smaller for the duration. Choose either a creature or an object that is neither worn nor carried. If the target is unwilling, it can make a Constitution saving throw. On a success, the spell has no effect.",,OFFICIAL
Enthrall,2,Enchantment,1 action,60 feet,V S,,1 minute,false,false,"You weave a distracting string of words, causing creatures of your choice that you can see within range and that can hear you to make a Wisdom saving throw. Any creature that can't be charmed succeeds on this saving throw automatically.",,OFFICIAL
Find Steed,2,Conjuration,10 minutes,30 feet,V S,,Instantaneous,false,false,"You summon a spirit that assumes the form of an unusually intelligent, strong, and loyal steed, creating a long-lasting bond with it. Appearing in an unoccupied space within range, the steed takes on a form that you choose: a warhorse, a pony, a camel, an elk, or a mastiff.",,OFFICIAL
Find Traps,2,Divination,1 action,120 feet,V S,,Instantaneous,false,false,"You sense the presence of any trap within range that is within line of sight. A trap, for the purpose of this spell, includes anything that would inflict a sudden or unexpected effect you consider harmful or undesirable.",,OFFICIAL
Flame Blade,2,Evocation,1 bonus action,Self,V S M,leaf of sumac,10 minutes,true,false,"You evoke a fiery blade in your free hand. The blade is similar in size and shape to a scimitar, and it lasts for the duration. You can use your action to make a melee spell attack with the fiery blade. On a hit, the target takes 3d6 fire damage.","When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d6 for every two slot levels above 2nd.",OFFICIAL
Flaming Sphere,2,Conjuration,1 action,60 feet,V S M,a bit of tallow a pinch of brimstone and a dusting of powdered iron,1 minute,true,false,"A 5-foot-diameter sphere of fire appears in an unoccupied space of your choice within range and lasts for the duration. Any creature that ends its turn within 5 feet of the sphere must make a Dexterity saving throw. The creature takes 2d6 fire damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",OFFICIAL
Gentle Repose,2,Necromancy,1 action,Touch,V S M,a pinch of salt and one copper piece placed on each of the corpse's eyes,10 days,false,true,"You touch a corpse or other remains. For the duration, the target is protected from decay and can't become undead. The spell also effectively extends the time limit on raising the target from the dead.",,OFFICIAL
Gust of Wind,2,Evocation,1 action,Self (60-foot line),V S M,a legume seed,1 minute,true,false,"A line of strong wind 60 feet long and 10 feet wide blasts from you in a direction you choose for the spell's duration. Each creature that starts its turn in the line must succeed on a Strength saving throw or be pushed 15 feet away from you in a direction following the line.",,OFFICIAL
Heat Metal,2,Transmutation,1 action,60 feet,V S M,a piece of iron and a flame,1 minute,true,false,"Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",OFFICIAL
Hold Person,2,Enchantment,1 action,60 feet,V S M,a small straight piece of iron,1 minute,true,false,"Choose a humanoid that you can see within range. The target must succeed on a Wisdom saving throw or be paralyzed for the duration. At the end of each of its turns, the target can make another Wisdom saving throw. On a success, the spell ends on the target.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional humanoid for each slot level above 2nd.",OFFICIAL
Invisibility,2,Illusion,1 action,Touch,V S M,an eyelash encased in gum arabic,1 hour,true,false,"A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.","When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd.",OFFICIAL
Knock,2,Transmutation,1 action,60 feet,V,,Instantaneous,false,false,"Choose an object that you can see within range. The object can be a door, a box, a chest, a set of manacles, a padlock, or another object that contains a mundane or magical means that prevents access. A target that is held shut by a mundane lock or that is stuck or barred becomes unlocked, unstuck, or unbarred.",,OFFICIAL
Lesser Restoration,2,Abjuration,1 action,Touch,V S,,Instantaneous,false,false,"You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned.",,OFFICIAL
Levitate,2,Transmutation,1 action,60 feet,V S M,either a small leather loop or a piece of golden wire bent into a cup shape with a long shank on one end,10 minutes,true,false,"One creature or loose object of your choice that you can see within range rises vertically, up to 20 feet, and remains suspended there for the duration. The spell can levitate a target that weighs up to 500 pounds.",,OFFICIAL
Locate Animals or Plants,2,Divination,1 action,Self,V S M,a bit of fur from a bloodhound,Instantaneous,false,true,"Describe or name a specific kind of beast or plant. Concentrating on the voice of nature in your surroundings, you learn the direction and distance to the closest creature or plant of that kind within 5 miles, if any are present.",,OFFICIAL
Locate Object,2,Divination,1 action,Self,V S M,a forked twig,10 minutes,true,false,"Describe or name an object that is familiar to you. You sense the direction to the object's location, as long as that object is within 1,000 feet of you. If the object is in motion, you know the direction of its movement.",,OFFICIAL
Magic Mouth,2,Illusion,1 minute,30 feet,V S M,a small bit of honeycomb and jade dust worth at least 10 gp consumed,Until dispelled,false,true,"You implant a message within an object in range, a message that is uttered when a trigger condition is met. Choose an object that you can see and that isn't being worn or carried by another creature.",,OFFICIAL
Magic Weapon,2,Transmutation,1 bonus action,Touch,V S,,1 hour,true,false,"You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls.","When you cast this spell using a spell slot of 4th level or higher, the bonus increases to +2. When you use a spell slot of 6th level or higher, the bonus increases to +3.",OFFICIAL
Maximilian's Earthen Grasp,2,Transmutation,1 action,30 feet,V S M,a miniature hand sculpted from clay,1 minute,true,false,"You choose a 5-foot-square unoccupied space on the ground that you can see within range. A Medium hand made from compacted soil rises there and reaches for one creature you can see within 5 feet of it. The target must make a Strength saving throw.",,OFFICIAL
Melf's Acid Arrow,2,Evocation,1 action,90 feet,V S M,powdered rhubarb leaf and an adder's stomach,Instantaneous,false,false,"A shimmering green arrow streaks toward a target within range and bursts in a spray of acid. Make a ranged spell attack against the target. On a hit, the target takes 4d4 acid damage immediately and 2d4 acid damage at the end of its next turn.","When you cast this spell using a spell slot of 3rd level or higher, the damage (both initial and later) increases by 1d4 for each slot level above 2nd.",OFFICIAL
Mind Spike,2,Divination,1 action,60 feet,S,,1 hour,true,false,"You reach into the mind of one creature you can see within range. The target must make a Wisdom saving throw, taking 3d8 psychic damage on a failed save, or half as much damage on a successful one. On a failed save, you also always know the target's location until the spell ends.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",OFFICIAL
Mirror Image,2,Illusion,1 action,Self,V S,,1 minute,false,false,"Three illusory duplicates of yourself appear in your space. Until the spell ends, the duplicates move with you and mimic your actions, shifting position so it's impossible to track which image is real. Each time a creature targets you with an attack, roll a d20 to determine whether the attack instead targets one of your duplicates.",,OFFICIAL
Misty Step,2,Conjuration,1 bonus action,Self,V,,Instantaneous,false,false,"Briefly surrounded by silvery mist, you teleport up to 30 feet to an unoccupied space that you can see.",,OFFICIAL
Moonbeam,2,Evocation,1 action,120 feet,V S M,several seeds of any moonseed plant and a piece of opalescent feldspar,1 minute,true,false,"A silvery beam of pale light shines down in a 5-foot-radius, 40-foot-high cylinder centered on a point within range. Until the spell ends, dim light fills the cylinder. When a creature enters the spell's area for the first time on a turn or starts its turn there, it is engulfed in ghostly flames that cause searing pain, and it must make a Constitution saving throw. It takes 2d10 radiant damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d10 for each slot level above 2nd.",OFFICIAL
Nystul's Magic Aura,2,Illusion,1 action,Touch,V S M,a small square of silk,24 hours,false,false,"You place an illusion on a creature or an object you touch so that divination spells reveal false information about it. The target can be a willing creature or an object that isn't being carried or worn by another creature.",,OFFICIAL
Pass without Trace,2,Abjuration,1 action,Self,V S M,ashes from a burned leaf of mistletoe and a sprig of spruce,1 hour,true,false,"A veil of shadows and silence radiates from you, masking you and your companions from detection. For the duration, each creature you choose within 30 feet of you (including you) has a +10 bonus to Dexterity (Stealth) checks and can't be tracked except by magical means.",,OFFICIAL
Phantasmal Force,2,Illusion,1 action,60 feet,V S M,a bit of fleece,1 minute,true,false,"You craft an illusion that takes root in the mind of a creature that you can see within range. The target must make an Intelligence saving throw. On a failed save, you create a phantasmal object, creature, or other visible phenomenon of your choice that is no larger than a 10-foot cube and that is perceivable only to the target for the duration.",,OFFICIAL
Prayer of Healing,2,Evocation,10 minutes,30 feet,V,,Instantaneous,false,false,"Up to six creatures of your choice that you can see within range each regain hit points equal to 2d8 + your spellcasting ability modifier. This spell has no effect on undead or constructs.","When you cast this spell using a spell slot of 3rd level or higher, the healing increases by 1d8 for each slot level above 2nd.",OFFICIAL
Protection from Poison,2,Abjuration,1 action,Touch,V S,,1 hour,false,false,"You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random. For the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage.",,OFFICIAL
Pyrotechnics,2,Transmutation,1 action,60 feet,V S,,Instantaneous,false,false,"Choose an area of nonmagical flame that you can see and that fits within a 5-foot cube within range. You can extinguish the fire in that area, and you create either fireworks or smoke when you do so.",,OFFICIAL
Ray of Enfeeblement,2,Necromancy,1 action,60 feet,V S,,1 minute,true,false,"A black beam of enervating energy springs from your finger toward a creature within range. Make a ranged spell attack against the target. On a hit, the target deals only half damage with weapon attacks that use Strength until the spell ends.",,OFFICIAL
Rope Trick,2,Transmutation,1 action,Touch,V S M,powdered corn extract and a twisted loop of parchment,1 hour,false,false,"You touch a length of rope that is up to 60 feet long. One end of the rope then rises into the air until the whole rope hangs perpendicular to the ground. At the upper end of the rope, an invisible entrance opens to an extradimensional space that lasts until the spell ends.",,OFFICIAL
Scorching Ray,2,Evocation,1 action,120 feet,V S,,Instantaneous,false,false,"You create three rays of fire and hurl them at targets within range. You can hurl them at one target or several. Make a ranged spell attack for each ray. On a hit, the target takes 2d6 fire damage.","When you cast this spell using a spell slot of 3rd level or higher, you create one additional ray for each slot level above 2nd.",OFFICIAL
See Invisibility,2,Divination,1 action,Self,V S M,a pinch of talc and a small sprinkling of powdered silver,1 hour,false,false,"For the duration, you see invisible creatures and objects as if they were visible, and you can see into the Ethereal Plane. Ethereal creatures and objects appear ghostly and translucent.",,OFFICIAL
Shadow Blade,2,Illusion,1 bonus action,Self,V S,,1 minute,true,false,"You weave together threads of shadow to create a sword of solidified gloom in your hand. This magic sword lasts until the spell ends. It counts as a simple melee weapon with which you are proficient. It deals 2d8 psychic damage on a hit and has the finesse, light, and thrown properties.","When you cast this spell using a 3rd- or 4th-level spell slot, the damage increases to 3d8. When you cast it using a 5th- or 6th-level spell slot, the damage increases to 4d8. When you cast it using a spell slot of 7th level or higher, the damage increases to 5d8.",OFFICIAL
Shatter,2,Evocation,1 action,60 feet,V S M,a chip of mica,Instantaneous,false,false,"A sudden loud ringing noise, painfully intense, erupts from a point of your choice within range. Each creature in a 10-foot-radius sphere centered on that point must make a Constitution saving throw. A creature takes 3d8 thunder damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd.",OFFICIAL
Silence,2,Illusion,1 action,120 feet,V S,,10 minutes,true,true,"For the duration, no sound can be created within or pass through a 20-foot-radius sphere centered on a point you choose within range. Any creature or object entirely inside the sphere is immune to thunder damage, and creatures are deafened while entirely inside it.",,OFFICIAL
Skywrite,2,Transmutation,1 action,Sight,V S,,1 hour,true,true,"You cause up to ten words to form in a part of the sky you can see. The words appear to be made of cloud and remain in place for the spell's duration. The words dissipate when the spell ends.",,OFFICIAL
Snilloc's Snowball Swarm,2,Evocation,1 action,90 feet,V S M,a piece of ice or a small white rock chip,Instantaneous,false,false,"A flurry of magic snowballs erupts from a point you choose within range. Each creature in a 5-foot-radius sphere centered on that point must make a Dexterity saving throw. A creature takes 3d6 cold damage on a failed save, or half as much damage on a successful one.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d6 for each slot level above 2nd.",OFFICIAL
Spider Climb,2,Transmutation,1 action,Touch,V S M,a drop of bitumen and a spider,1 hour,true,false,"Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and upside down along ceilings, while leaving its hands free. The target also gains a climbing speed equal to its walking speed.",,OFFICIAL
Spike Growth,2,Transmutation,1 action,150 feet,V S M,seven sharp thorns or seven small twigs each sharpened to a point,10 minutes,true,false,"The ground in a 20-foot radius centered on a point within range twists and sprouts hard spikes and thorns. The area becomes difficult terrain for the duration. When a creature moves into or within the area, it takes 2d4 piercing damage for every 5 feet it travels.",,OFFICIAL
Spiritual Weapon,2,Evocation,1 bonus action,60 feet,V S,,1 minute,false,false,"You create a floating, spectral weapon within range that lasts for the duration or until you cast this spell again. When you cast the spell, you can make a melee spell attack against a creature within 5 feet of the weapon. On a hit, the target takes force damage equal to 1d8 + your spellcasting ability modifier.","When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for every two slot levels above 2nd.",OFFICIAL
Suggestion,2,Enchantment,1 action,30 feet,V M,a snake's tongue and either a bit of honeycomb or a drop of sweet oil,8 hours,true,false,"You suggest a course of activity (limited to a sentence or two) and magically influence a creature you can see within range that can hear and understand you. Creatures that can't be charmed are immune to this effect.",,OFFICIAL
Summon Beast,2,Conjuration,1 action,90 feet,V S M,a feather pinecone and bone,1 hour,true,false,"You call forth a bestial spirit. It manifests in an unoccupied space that you can see within range. This corporeal form uses the Bestial Spirit stat block. When you cast the spell, choose an environment: Air, Land, or Water. The creature resembles an animal of your choice that is native to the chosen environment.","When you cast this spell using a spell slot of 3rd level or higher, use the higher level wherever the spell's level appears in the stat block.",OFFICIAL
Warding Bond,2,Abjuration,1 action,Touch,V S M,a pair of platinum rings worth at least 50 gp each,1 hour,false,false,"This spell wards a willing creature you touch and creates a mystic connection between you and the target until the spell ends. While the target is within 60 feet of you, it gains a +1 bonus to AC and saving throws, and it has resistance to all damage. Also, each time it takes damage, you take the same amount of damage.",,OFFICIAL
Warding Wind,2,Evocation,1 action,Self,V,,10 minutes,true,false,"A strong wind (20 miles per hour) blows around you in a 10-foot radius and moves with you, remaining centered on you. The wind lasts for the spell's duration. The wind deafens you and other creatures in its area.",,OFFICIAL
Web,2,Conjuration,1 action,60 feet,V S M,a bit of spiderweb,1 hour,true,false,"You conjure a mass of thick, sticky webbing at a point of your choice within range. The webs fill a 20-foot cube from that point for the duration. The webs are difficult terrain and lightly obscure their area.",,OFFICIAL
Zone of Truth,2,Enchantment,1 action,60 feet,V S,,10 minutes,false,false,"You create a magical zone that guards against deception in a 15-foot-radius sphere centered on a point of your choice within range. Until the spell ends, a creature that enters the spell's area for the first time on a turn or starts its turn there must make a Charisma saving throw.",,OFFICIAL
Animate Dead,3,Necromancy,1 minute,10 feet,V S M,a drop of blood a piece of flesh and a pinch of bone dust,Instantaneous,false,false,"This spell creates an undead servant. Choose a pile of bones or a corpse of a Medium or Small humanoid within range. Your spell imbues the target with a foul mimicry of life, raising it as an undead creature.","When you cast this spell using a spell slot of 4th level or higher, you animate or reassert control over two additional undead creatures for each slot level above 3rd.",OFFICIAL
Aura of Vitality,3,Evocation,1 action,Self (30-foot radius),V,,1 minute,true,false,"Healing energy radiates from you in an aura with a 30-foot radius. Until the spell ends, the aura moves with you, centered on you. You can use a bonus action to cause one creature in the aura (including you) to regain 2d6 hit points.",,OFFICIAL
Beacon of Hope,3,Abjuration,1 action,30 feet,V S,,1 minute,true,false,"This spell bestows hope and vitality. Choose any number of creatures within range. For the duration, each target has advantage on Wisdom saving throws and death saving throws, and regains the maximum number of hit points possible from any healing.",,OFFICIAL
Bestow Curse,3,Necromancy,1 action,Touch,V S,,1 minute,true,false,"You touch a creature, and that creature must succeed on a Wisdom saving throw or become cursed for the duration of the spell. When you cast this spell, choose the nature of the curse from various options.","If you cast this spell using a spell slot of 4th level or higher, the duration is concentration, up to 10 minutes. If you use a 5th level slot, the duration is 8 hours. If you use a 7th level slot, the duration is 24 hours. If you use a 9th level spell slot, the spell lasts until it is dispelled.",OFFICIAL
Blinding Smite,3,Evocation,1 bonus action,Self,V,,1 minute,true,false,"The next time you hit a creature with a melee weapon attack during this spell's duration, your weapon flares with bright light, and the attack deals an extra 3d8 radiant damage to the target. Additionally, the target must succeed on a Constitution saving throw or be blinded until the spell ends.",,OFFICIAL
